29	61	86	58.7  61
68	34	60	54    60
13	20	15  16    15
88	24	83	65	  83
51	18	38	35.7  38
25	12	75  37.3  25
82	25	31  46	  31
46	82	66  64.7  66
36	75	23  44.7  36
3	13	10  8.6   10
6	71	77	51.3  77
15	9	42  22	  15
53	28	15	32	  28
22	68	66	52    66
92	73	18  61	  73
12	21	20  17.7  20
59	35	40	44.7  40
9	5	27  13.7  9
79	38	24  47    38
62	7	80  49.7  62
9	11	13  11    11
92	56	62  70    62
79	25	37  47    37
34	13	6   17.7  13  
81	85	11  59    81
15	14	29  19.3  15
10	64	90  54.7  64
17	30	21  22.7  21
92	100	5   65.7  92
6	24	9   13    9
96	52	90  79.3  90
8	23	100 43.6  23
7	31	6   14.6  7
3	66	30  33    30
86	75	90  83.7  86
49	27	11  29    27









